"Date","New Cases","Total Cases"
"2020-05-01","142","4317"
"2020-05-02","80","4397"
"2020-05-03","66","4463"
"2020-05-04","76","4539"
"2020-05-05","148","4687"
"2020-05-06","83","4770"
"2020-05-07","85","4855"
"2020-05-08","100","4955"
"2020-05-09","101","5056"
"2020-05-10","134","5190"
"2020-05-11","86","5276"
"2020-05-12","99","5375"
"2020-05-13","179","5554"
"2020-05-14","134","5688"
"2020-05-15","86","5774"
"2020-05-16","107","5881"
"2020-05-17","129","6010"
"2020-05-18","49","6059"
"2020-05-19","96","6155"
"2020-05-20","81","6236"
"2020-05-21","65","6301"
"2020-05-22","99","6400"
"2020-05-23","115","6515"
"2020-05-24","119","6634"
"2020-05-25","75","6709"
"2020-05-26","89","6798"
"2020-05-27","97","6895"
"2020-05-28","106","7001"
"2020-05-29","127","7128"
"2020-05-30","101","7229"
"2020-05-31","119","7348"
"2020-06-01","137","7485"
"2020-06-02","56","7541"
"2020-06-03","82","7623"
"2020-06-04","67","7690"
"2020-06-05","76","7766"
"2020-06-06","104","7870"
"2020-06-07","163","8033"
"2020-06-08","88","8121"
"2020-06-09","234","8355"
"2020-06-10","148","8503"
"2020-06-11","147","8650"
"2020-06-12","90","8740"
"2020-06-13","121","8861"
"2020-06-14","117","8978"
"2020-06-15","142","9120"
"2020-06-16","102","9222"
"2020-06-17","127","9349"
"2020-06-18","167","9516"
"2020-06-19","139","9655"
"2020-06-20","174","9829"
"2020-06-21","142","9971"
"2020-06-22","127","10098"
"2020-06-23","160","10258"
"2020-06-24","146","10404"
"2020-06-25","196","10600"
"2020-06-26","196","10796"
"2020-06-27","198","10994"
"2020-06-28","120","11114"
"2020-06-29","123","11237"
"2020-06-30","187","11424"
"2020-07-01","213","11637"
"2020-07-02","186","11823"
"2020-07-03","138","11961"
"2020-07-04","222","12183"
"2020-07-05","252","12435"
"2020-07-06","232","12667"
"2020-07-07","190","12857"
"2020-07-08","354","13211"
"2020-07-09","277","13488"
"2020-07-10","251","13739"
"2020-07-11","374","14113"
"2020-07-12","404","14517"
"2020-07-13","280","14797"
"2020-07-14","267","15064"
"2020-07-15","260","15324"
"2020-07-16","312","15636"
"2020-07-17","253","15889"
"2020-07-18","347","16236"
